,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Class
0,250.0,373.0,3629947.0,3630060.0,6114.0,320.0,197.0,633741.0,40.0,134.0,1666.0,0.0,1.0,40.0,0.3001,0.5601,0.9187,0.0738,0.3844,0.5736,0.0,3.7863,2.0899,2.0531,-0.0813,-0.1902,1.0,0
1,37.0,217.0,1825287.0,1825355.0,6605.0,310.0,151.0,684731.0,38.0,126.0,1356.0,0.0,1.0,40.0,0.0546,0.4604,0.3778,0.1327,0.5806,0.4503,0.0,3.8199,2.2553,1.8325,-0.6222,-0.1901,1.0,0
2,41.0,213.0,1637218.0,1637282.0,6206.0,257.0,128.0,641502.0,39.0,127.0,1356.0,0.0,1.0,40.0,0.0605,0.4362,0.3721,0.1268,0.6693,0.5,0.0,3.7928,2.2355,1.8062,-0.6279,-0.1924,1.0,0
3,1202.0,1216.0,289529.0,289543.0,137.0,15.0,15.0,16692.0,109.0,134.0,1692.0,0.0,1.0,60.0,0.5627,0.301,1.0,0.0083,0.9333,0.9333,0.5,2.1367,1.1461,1.1461,0.0,-0.0481,0.33,1
4,43.0,215.0,1253069.0,1253240.0,13975.0,795.0,441.0,1630309.0,29.0,140.0,1400.0,0.0,1.0,40.0,0.0614,0.5249,0.9942,0.1229,0.2164,0.3878,0.0,4.1453,2.2355,2.233,-0.0058,-0.0886,1.0,0
5,0.0,12.0,645933.0,645992.0,309.0,13.0,59.0,27035.0,36.0,117.0,1353.0,0.0,1.0,70.0,0.0,0.5636,0.2034,0.0089,0.9231,1.0,1.0,2.49,1.0792,1.7708,0.7966,-0.3165,0.9373,1
6,208.0,228.0,134103.0,134190.0,952.0,79.0,90.0,83708.0,77.0,103.0,1394.0,0.0,1.0,220.0,0.2984,0.4529,0.2299,0.0143,0.2532,0.9667,1.0,2.9786,1.301,1.9395,0.7701,-0.3131,0.9999,1
7,1159.0,1169.0,301412.0,301420.0,66.0,12.0,8.0,7164.0,87.0,135.0,1690.0,1.0,0.0,150.0,0.6166,0.175,0.8,0.0059,0.8333,1.0,0.0,1.8195,1.0,0.9031,-0.2,-0.152,0.1852,1
8,1527.0,1565.0,5331249.0,5331309.0,1284.0,68.0,61.0,116623.0,42.0,117.0,1648.0,1.0,0.0,80.0,0.1007,0.4368,0.6333,0.0231,0.5588,0.9836,1.0,3.1086,1.5798,1.7781,0.3667,-0.2904,1.0,1
9,1277.0,1290.0,396403.0,396420.0,161.0,17.0,17.0,11803.0,41.0,95.0,1364.0,1.0,0.0,200.0,0.1085,0.2715,0.7647,0.0095,0.7647,1.0,1.0,2.2068,1.1139,1.2305,0.2353,-0.4273,0.3678,1
10,1164.0,1173.0,18324.0,18328.0,32.0,9.0,4.0,6356.0,191.0,207.0,1353.0,0.0,1.0,200.0,0.2661,0.1111,0.4444,0.0066,1.0,1.0,0.0,1.5051,0.9542,0.6021,-0.5556,0.5518,0.1449,1
11,1365.0,1378.0,3990693.0,3990730.0,353.0,13.0,38.0,27389.0,45.0,108.0,1387.0,0.0,1.0,50.0,0.013,0.2661,0.3514,0.0094,1.0,0.9737,1.0,2.5478,1.1139,1.5682,0.6486,-0.3938,0.767,1
12,1223.0,1235.0,456228.0,456249.0,193.0,19.0,21.0,19028.0,66.0,125.0,1360.0,0.0,1.0,40.0,0.1838,0.2341,0.5714,0.0088,0.6316,1.0,1.0,2.2856,1.0792,1.3222,0.4286,-0.2298,0.417,1
13,41.0,182.0,398837.0,398889.0,4409.0,191.0,102.0,456908.0,47.0,125.0,1362.0,0.0,1.0,40.0,0.0602,0.3987,0.3688,0.1035,0.7382,0.5098,0.0,3.6443,2.1492,1.716,-0.6312,-0.1904,1.0,0
14,37.0,212.0,2751455.0,2751522.0,6280.0,324.0,184.0,654471.0,40.0,124.0,1358.0,0.0,1.0,40.0,0.0545,0.4644,0.3829,0.1289,0.5401,0.3641,0.0,3.798,2.243,1.8261,-0.6171,-0.1858,1.0,0
15,782.0,804.0,798878.0,798912.0,576.0,34.0,34.0,61342.0,84.0,133.0,1362.0,0.0,1.0,40.0,0.8194,0.2299,0.6471,0.0161,0.6471,1.0,1.0,2.7604,1.3424,1.5315,0.3529,-0.168,0.9513,1
16,61.0,93.0,2310852.0,2310855.0,68.0,32.0,11.0,8808.0,95.0,166.0,1692.0,1.0,0.0,70.0,0.0721,0.2917,0.0938,0.0189,1.0,0.2727,0.0,1.8325,1.5051,0.4771,-0.9063,0.012,0.2018,1
17,39.0,214.0,2886302.0,2886367.0,6182.0,295.0,138.0,635475.0,42.0,124.0,1356.0,0.0,1.0,40.0,0.0575,0.4565,0.3714,0.1291,0.5932,0.471,0.0,3.7911,2.243,1.8129,-0.6286,-0.1969,1.0,0
18,556.0,564.0,1146657.0,1146672.0,108.0,12.0,15.0,11491.0,87.0,126.0,1626.0,0.0,1.0,120.0,0.6839,0.1,0.5333,0.0049,0.6667,1.0,1.0,2.0334,0.9031,1.1761,0.4667,-0.1688,0.2288,1
19,28.0,36.0,3213793.0,3213815.0,124.0,16.0,22.0,14618.0,97.0,141.0,1658.0,1.0,0.0,100.0,0.0338,0.2955,0.3636,0.0048,0.5,1.0,1.0,2.0934,0.9031,1.3424,0.6364,-0.079,0.3012,1
20,408.0,416.0,945792.0,945807.0,81.0,11.0,15.0,9462.0,107.0,125.0,1360.0,0.0,1.0,130.0,0.6,0.325,0.5333,0.0059,0.7273,1.0,1.0,1.9085,0.9031,1.1761,0.4667,-0.0874,0.2288,1
21,623.0,639.0,2003323.0,2003457.0,1004.0,99.0,134.0,125338.0,109.0,143.0,1362.0,0.0,1.0,100.0,0.9148,0.5317,0.1194,0.0117,0.1616,1.0,1.0,3.0017,1.2041,2.1271,0.8806,-0.0247,1.0,1
22,41.0,218.0,2002718.0,2002782.0,6944.0,256.0,113.0,723643.0,41.0,124.0,1358.0,0.0,1.0,40.0,0.0604,0.387,0.3616,0.1303,0.6914,0.5664,0.0,3.8416,2.248,1.8062,-0.6384,-0.1858,1.0,0
23,365.0,396.0,3866538.0,3866570.0,638.0,44.0,36.0,56456.0,53.0,126.0,1364.0,1.0,0.0,80.0,0.5352,0.3568,0.9688,0.0227,0.7046,0.8889,1.0,2.8048,1.4914,1.5051,0.0313,-0.3087,0.99,1
24,1605.0,1616.0,1116225.0,1116232.0,57.0,11.0,7.0,5464.0,82.0,108.0,1687.0,1.0,0.0,100.0,0.0842,0.2597,0.6364,0.0065,1.0,1.0,0.0,1.7559,1.0414,0.8451,-0.3636,-0.2511,0.1822,1
25,41.0,194.0,452068.0,452142.0,6170.0,228.0,137.0,645016.0,51.0,134.0,1358.0,0.0,1.0,40.0,0.0604,0.455,0.4837,0.1127,0.6711,0.5401,0.0,3.7903,2.1847,1.8692,-0.5163,-0.1833,1.0,0
26,39.0,195.0,1863816.0,1864008.0,13037.0,623.0,387.0,1505833.0,35.0,143.0,1402.0,0.0,1.0,40.0,0.0556,0.5647,0.8125,0.1113,0.2504,0.4961,1.0,4.1152,2.1931,2.2833,0.1875,-0.0976,1.0,0
27,1043.0,1106.0,4163671.0,4163699.0,980.0,80.0,46.0,92750.0,24.0,133.0,1356.0,1.0,0.0,200.0,0.3687,0.4444,0.4444,0.0465,0.7875,0.6087,0.0,2.9912,1.7993,1.4472,-0.5556,-0.2606,0.9999,1
28,0.0,13.0,159043.0,159085.0,253.0,36.0,46.0,35308.0,127.0,151.0,1687.0,0.0,1.0,200.0,0.0,0.5366,0.3095,0.0077,0.3611,0.913,1.0,2.4031,1.1139,1.6233,0.6905,0.0903,0.8355,1
29,9.0,18.0,379740.0,379759.0,110.0,11.0,19.0,12881.0,99.0,133.0,1687.0,0.0,1.0,200.0,0.0107,0.3567,0.4737,0.0053,0.8182,1.0,1.0,2.0414,0.9542,1.2787,0.5263,-0.0852,0.2942,1
30,441.0,462.0,214705.0,214812.0,1275.0,96.0,112.0,125462.0,84.0,117.0,1394.0,0.0,1.0,220.0,0.6327,0.4326,0.1963,0.0151,0.2188,0.9554,1.0,3.1055,1.3222,2.0294,0.8037,-0.2312,1.0,1
31,6.0,17.0,363701.0,363718.0,140.0,11.0,17.0,14533.0,76.0,125.0,1687.0,0.0,1.0,200.0,0.0071,0.2513,0.6471,0.0065,1.0,1.0,1.0,2.1461,1.0414,1.2305,0.3529,-0.189,0.3168,1
32,247.0,272.0,244048.0,244067.0,235.0,36.0,22.0,29911.0,119.0,142.0,1360.0,0.0,1.0,40.0,0.3632,0.5053,0.76,0.0184,0.6944,0.8636,0.0,2.3711,1.3979,1.2787,-0.24,-0.0056,0.7598,1
33,1251.0,1276.0,2371628.0,2371646.0,203.0,40.0,31.0,26321.0,121.0,141.0,1600.0,0.0,1.0,40.0,0.405,0.5489,0.72,0.0156,0.625,0.5806,0.0,2.3075,1.3979,1.2553,-0.28,0.013,0.7281,1
34,196.0,209.0,157035.0,157044.0,60.0,20.0,14.0,7508.0,117.0,135.0,1364.0,0.0,1.0,40.0,0.2874,0.4872,0.6923,0.0095,0.65,0.6429,0.0,1.7781,1.1139,0.9542,-0.3077,-0.0224,0.2253,1
35,207.0,225.0,1067022.0,1067027.0,55.0,19.0,6.0,7484.0,122.0,150.0,1372.0,1.0,0.0,69.0,0.3018,0.3889,0.2778,0.0131,0.9474,0.8333,0.0,1.7404,1.2553,0.699,-0.7222,0.0631,0.1954,1
36,899.0,906.0,844907.0,844932.0,139.0,14.0,25.0,16593.0,108.0,133.0,1356.0,0.0,1.0,40.0,0.6637,0.2057,0.28,0.0052,0.5,1.0,1.0,2.143,0.8451,1.3979,0.72,-0.0674,0.2998,1
37,1073.0,1078.0,372724.0,372744.0,73.0,15.0,20.0,8836.0,110.0,134.0,1356.0,0.0,1.0,175.0,0.41,0.27,0.25,0.0037,0.3333,1.0,1.0,1.8633,0.699,1.301,0.75,-0.0544,0.2061,1
